object,band,rise_time_days,decay_time_days,t0_days,peak_mag,chi2,baseline_chi2,n_obs,fwhm_days,rise_rate_mag_per_day,decay_rate_mag_per_day,gp_dfdt_now,gp_dfdt_next,gp_d2fdt2_now,gp_predicted_mag_1d,gp_predicted_mag_2d,gp_time_to_peak,gp_extrap_slope,gp_T_peak,gp_T_now,gp_dTdt_peak,gp_dTdt_now,gp_sigma_f,gp_peak_to_peak,gp_snr_max,gp_dfdt_max,gp_dfdt_min,gp_frac_of_peak,gp_post_var_mean,gp_post_var_max,gp_skewness,gp_kurtosis,gp_n_inflections
ZTF25aaapkzn,r,10.532,5.745,22.980,18.419,1.821,42.1,18,NaN,-0.028190,0.091457,0.091838,0.089238,-0.002600,19.873101,19.958975,-22.078355,0.081794,12248.1,5284.8,11.795,-290.307,0.411154,1.528095,675.289,0.094764,-0.032075,1.082963,0.007050,0.007050,1.145315,0.425129,2
ZTF25aaapkzn,g,14.362,4.787,19.150,18.424,0.219,29.0,11,24.895,-0.073187,0.104765,-0.144668,-0.092485,0.052184,18.716490,18.681724,14.110630,0.018225,12248.1,5284.8,11.795,-290.307,0.510304,2.159285,311.361,0.233199,-0.203434,1.117198,0.002286,0.002286,0.602679,0.040902,6
ZTF25aaapqqt,i,2.462,2.462,19.083,19.266,0.006,2.7,5,NaN,-0.001309,0.088665,-0.053760,0.005642,0.059401,19.274024,19.341653,0.124228,0.120978,9070.9,6190.6,-22.190,-27.074,0.269918,0.991989,153.207,0.173103,-0.127691,1.048978,0.000257,0.000257,-0.019162,-0.425358,4
ZTF25aaapqqt,g,11.696,3.078,17.236,18.914,1.430,30.3,35,20.929,-0.239041,0.093896,-0.038696,-0.035377,0.003319,18.949718,18.923424,3.301690,-0.010522,9070.9,6190.6,-22.190,-27.074,0.541627,2.130559,377.155,0.124907,-0.293284,1.057544,0.030328,0.030328,1.056197,0.460286,4
ZTF25aaapqqt,r,8.618,3.693,15.389,19.002,1.805,19.0,31,NaN,-0.181750,0.043669,-0.126417,-0.108116,0.018300,19.262650,19.173579,6.284071,-0.069853,9070.9,6190.6,-22.190,-27.074,0.516148,1.922104,371.243,0.049293,-0.190788,1.029066,0.017497,0.017497,1.322485,0.755162,2
ZTF25aaaprdb,i,14.670,8.802,115.544,16.727,0.007,529.4,6,NaN,0.027948,0.000000,-0.080366,-0.145132,-0.064766,18.477713,18.277511,26.662706,-0.239180,24857.1,11721.9,-61.466,-61.305,0.363411,1.962424,1134.577,0.153163,-0.245838,1.040732,0.000006,0.000006,1.573996,4.103441,7
ZTF25aaaprdb,g,8.802,17.604,97.940,16.979,10.616,2458.6,67,26.406,-0.029327,0.006937,0.050702,0.051359,0.000657,17.302465,17.354347,-8.928150,0.052530,24857.1,11721.9,-61.466,-61.305,1.183068,4.044250,1521.519,0.095259,-0.286048,1.147304,0.133508,0.133508,0.058721,-0.736896,5
ZTF25aaaprdb,r,11.736,17.604,106.742,16.621,29.908,1173.3,56,44.011,0.011589,0.025927,0.021013,0.023930,0.002916,16.704817,16.731136,-6.159117,0.028243,24857.1,11721.9,-61.466,-61.305,0.620071,2.096826,1943.632,0.036474,-0.098505,1.126155,0.218764,0.218764,-0.448332,-0.938575,5
ZTF25aaaqkbi,r,NaN,14.673,0.000,16.913,8.783,1910.4,18,NaN,0.028105,0.026199,0.019641,0.018692,-0.000949,19.561922,19.579660,-77.944352,0.016780,24317.0,6275.9,-34.098,-64.744,0.857714,2.665940,1658.405,0.041813,0.018094,1.157629,0.009364,0.009364,-0.023380,-1.373589,1
ZTF25aaaqkbi,g,1.630,16.303,3.261,16.941,0.977,2843.1,13,NaN,0.041812,0.024630,0.006929,0.008749,0.001820,19.750668,19.761388,-56.688215,0.012794,24317.0,6275.9,-34.098,-64.744,1.127405,3.264815,1143.330,0.102690,-0.020199,1.192720,0.005170,0.005170,-0.654172,-1.179080,3
ZTF25aaasqpa,g,4.423,5.687,32.826,17.334,0.046,640.1,7,18.957,-0.184101,0.017280,-0.146167,-0.095824,0.050343,17.392369,17.344514,2.884482,-0.009660,16488.7,10255.8,137.646,-108.253,0.497922,1.331533,1408.561,0.156629,-0.228277,1.068536,0.000009,0.000009,0.223285,-1.606779,4
ZTF25aaasqpa,r,5.055,4.423,33.458,17.447,6.425,244.1,10,21.485,-0.148454,0.117959,0.114284,0.119824,0.005541,18.510000,18.632762,-15.506843,0.122648,16488.7,10255.8,137.646,-108.253,0.485568,1.640624,1238.144,0.123173,-0.221882,1.094033,0.005055,0.005055,0.661388,-0.752847,1
ZTF25aaasqpa,i,1.264,8.847,27.138,18.261,0.002,59.3,6,19.589,-0.023732,-0.003306,0.215384,-0.253200,-0.468584,18.992092,18.550764,3.154135,-0.298135,16488.7,10255.8,137.646,-108.253,0.179357,0.983914,559.712,0.350343,-0.447419,1.033129,0.000005,0.000005,-0.553537,1.705101,10
ZTF25aaasxhh,r,7.885,2.628,58.176,18.956,0.490,20.0,8,NaN,0.034786,0.052267,0.089816,0.087903,-0.001913,19.585225,19.669302,-8.698401,0.078793,9374.4,7417.9,1.438,-310.221,0.920186,2.354761,252.423,0.089753,-0.178067,1.028868,0.004904,0.004904,-0.206372,-1.703160,3
ZTF25aaasxhh,g,7.009,1.752,59.928,19.070,0.114,7.2,7,NaN,0.001844,0.040723,0.090434,0.071873,-0.018561,19.622471,19.672151,-6.952536,0.028121,9374.4,7417.9,1.438,-310.221,0.397153,1.362533,313.312,0.122469,-0.209819,1.025469,0.000847,0.000847,0.393721,-0.692459,5
ZTF25aaasyqw,g,NaN,4.240,353.970,19.138,0.366,0.4,31,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,19.138339,19.138339,-20.007512,0.000000,8949.2,8949.2,NaN,-0.000,0.000000,0.000000,205.186,0.000000,0.000000,1.000000,0.008140,0.008140,-0.000000,-1.200960,0
ZTF25aaasyqw,r,NaN,4.240,353.970,19.105,0.342,0.3,36,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,19.104720,19.104720,-23.015880,0.000000,8949.2,8949.2,NaN,-0.000,0.000000,0.000000,207.638,0.000000,0.000000,1.000000,0.007991,0.007991,0.000001,-1.200960,0
ZTF25aaaszhh,r,9.764,5.696,16.274,17.679,0.019,75.8,10,29.292,-0.162512,0.035414,0.022299,0.031446,0.009147,17.741133,17.787446,-1.688423,0.070742,17387.1,10952.4,-30.689,-81.566,0.451350,1.650061,795.373,0.130392,-0.293176,1.056767,0.000046,0.000046,0.567699,-0.284835,6
ZTF25aaathgi,g,5.816,1.939,10.857,18.638,0.247,10.1,6,NaN,-0.267636,0.096182,-0.258112,-0.226511,0.031601,19.107615,18.922309,5.817287,-0.138788,10932.7,9432.1,10.862,-314.923,0.578540,2.017264,208.614,0.099505,-0.280511,1.033241,0.002968,0.002968,1.148454,0.146170,2
ZTF25aaathgi,r,7.367,1.163,14.734,18.634,0.187,30.3,5,NaN,-0.167741,0.027248,-0.003853,0.013810,0.017664,18.648537,18.675899,-0.262764,0.037201,10932.7,9432.1,10.862,-314.923,0.683348,2.011752,348.252,0.045622,-0.209081,1.006618,0.001369,0.001369,0.704818,-1.019138,1
ZTF25aaawevx,r,6.943,3.787,13.887,18.742,1.767,30.5,17,NaN,-0.116380,0.035257,-0.120880,-0.119385,0.001494,19.359533,19.244427,9.801126,-0.108124,9705.3,7169.3,-25.225,3.313,0.328089,1.211059,536.332,0.064565,-0.120943,1.036725,0.023431,0.023431,0.525323,-0.559670,2
ZTF25aaawevx,g,3.787,3.787,8.206,19.074,0.317,24.0,13,18.936,-0.229984,-0.017500,0.025798,0.041722,0.015925,19.140473,19.170774,-0.863236,0.006007,9705.3,7169.3,-25.225,3.313,0.405758,1.573522,507.814,0.136150,-0.297514,1.036760,0.002913,0.002913,0.548764,-0.317137,5
ZTF25aaawpmf,r,16.149,8.074,30.952,18.188,0.862,125.1,17,43.063,-0.094155,0.019487,0.008938,0.013426,0.004488,18.214540,18.232156,-2.017881,0.021486,12244.2,7660.2,9.485,19.390,0.537186,2.068524,685.103,0.039847,-0.098211,1.048033,0.014467,0.014467,0.933955,0.255597,2
ZTF25aaawpmf,i,12.112,8.074,26.915,18.288,0.079,70.8,5,43.063,-0.081288,0.008822,-0.091268,-0.085526,0.005742,18.702427,18.623616,10.897735,-0.071303,12244.2,7660.2,9.485,19.390,0.476765,1.734839,446.778,0.039032,-0.101409,1.044714,0.003403,0.003403,0.673900,-0.211126,2
ZTF25aaawpmf,g,17.495,9.420,28.260,18.827,0.271,58.5,12,39.026,-0.089287,0.022250,-0.078879,-0.072463,0.006417,19.267731,19.201887,16.251731,-0.059202,12244.2,7660.2,9.485,19.390,0.556020,1.646927,506.541,0.077559,-0.102433,1.073473,0.004359,0.004359,0.185282,-1.531119,2
ZTF25aaayywb,r,11.247,22.494,27.433,19.764,1.046,5.6,26,NaN,-0.004832,-0.015156,0.011708,0.010636,-0.001071,20.826566,20.836119,-55.402594,0.008462,7362.2,4380.1,-12.137,30.853,0.389503,1.108590,185.201,0.026598,-0.019131,1.025235,0.048542,0.048542,-0.170465,-1.445467,2
ZTF25aaayywb,g,11.247,16.871,27.433,19.327,0.542,12.7,23,47.801,-0.023397,-0.002079,0.025863,0.025132,-0.000731,20.123476,20.147960,-26.420858,0.023918,7362.2,4380.1,-12.137,30.853,0.658606,1.997067,244.503,0.036175,-0.075360,1.090884,0.013066,0.013066,-0.277029,-1.256033,3
ZTF25aaazrdg,r,NaN,19.533,0.980,18.924,0.325,26.7,18,NaN,0.032167,0.049791,-0.147502,-0.155172,-0.007670,20.675362,20.519138,-136.713519,-0.151086,9329.2,4143.0,NaN,122.422,0.521189,2.465003,390.816,0.125282,-0.133529,1.100631,0.005807,0.005807,0.916497,1.392538,9
ZTF25aaazrdg,g,NaN,22.323,0.980,19.138,4.772,39.4,18,NaN,0.018929,0.002663,0.015746,0.015598,-0.000148,20.132509,20.147956,-53.876933,0.015294,9329.2,4143.0,NaN,122.422,0.512578,1.622095,412.424,0.019148,-0.000403,1.084697,0.079220,0.079220,-0.559935,-1.024233,1
ZTF25aaazuaw,g,7.338,7.338,13.452,18.187,0.493,222.3,10,17.121,-0.162817,-0.043720,-0.194644,-0.162573,0.032071,18.476969,18.350030,5.476488,-0.090058,13353.5,7046.0,-58.579,120.454,0.688713,2.294781,438.040,0.123828,-0.246902,1.075208,0.009036,0.009036,-0.183376,-0.974890,5
ZTF25aaazuaw,r,4.892,12.229,12.229,18.311,0.275,67.0,13,41.580,-0.138534,0.045151,0.009460,-0.007409,-0.016870,18.685782,18.662832,-18.684808,-0.035371,13353.5,7046.0,-58.579,120.454,0.519848,1.744178,548.729,0.115242,-0.233496,1.077326,0.001176,0.001176,0.686797,-0.880314,8
