object,band,variant,rise_time_days,decay_time_days,peak_time_days,chi2,n_obs,fwhm_days,rise_rate_mag_per_day,decay_rate_mag_per_day,powerlaw_amplitude,powerlaw_index
ZTF25aamplge,r,Bazin,6.068,33.115,14.510,2.699,17,60.907,-0.113121,0.035691,NaN,NaN
ZTF25aamqhpc,r,Bazin,3.270,33.115,6.637,1.618,28,60.005,-0.132718,0.038858,NaN,NaN
ZTF25aamqhpc,g,Bazin,3.269,19.173,8.255,1.798,15,60.005,-0.139512,0.077228,NaN,NaN
ZTF25aamrath,r,Bazin,3.498,32.868,9.139,4.015,48,86.917,-0.117546,0.051101,NaN,NaN
ZTF25aamrath,g,Bazin,4.680,5.476,30.000,60.313,31,51.976,-0.025764,0.001515,NaN,NaN
ZTF25aanbchm,r,Bazin,4.246,29.073,4.012,2.066,23,42.020,-0.088694,0.049077,NaN,NaN
ZTF25aanbchm,g,Bazin,3.215,12.740,7.226,3.156,19,42.020,-0.107774,0.049688,NaN,NaN
ZTF25aanbchm,i,Bazin,2.429,2.414,-58.842,1.024,2,NaN,0.000000,-0.000000,NaN,NaN
ZTF25aanbcou,r,Bazin,4.168,33.115,4.532,3.638,24,42.020,-0.120628,0.048476,NaN,NaN
ZTF25aanbcou,g,Bazin,2.961,13.724,7.191,2.727,19,42.020,-0.139750,0.059369,NaN,NaN
ZTF25aanbcou,i,Bazin,2.793,2.647,-68.320,0.615,3,NaN,0.000000,0.000000,NaN,NaN
ZTF25aanbdft,r,Bazin,3.153,21.423,7.163,0.237,9,41.063,-0.135035,0.038522,NaN,NaN
ZTF25aanbdft,g,Bazin,3.187,12.899,9.888,2.270,7,41.063,-0.143303,0.055152,NaN,NaN
ZTF25aanblle,r,Full,4.707,27.693,3.864,0.681,11,0.527,-0.095859,0.038357,NaN,NaN
ZTF25aanblle,g,Full,7.807,10.188,10.414,0.137,6,34.927,-0.087466,0.096615,NaN,NaN
ZTF25aanbnfj,g,Full,4.362,15.740,6.440,0.512,11,48.975,-0.098753,0.068912,NaN,NaN
ZTF25aanbnfj,r,Full,3.593,34.339,4.451,0.452,7,48.975,-0.097157,0.031609,NaN,NaN
ZTF25aancloh,r,Bazin,4.793,33.115,4.974,1.534,54,64.032,-0.055730,0.041132,NaN,NaN
ZTF25aancloh,g,Bazin,3.557,16.089,5.193,4.005,19,64.032,-0.037005,0.040575,NaN,NaN
ZTF25aancloh,i,Bazin,4.213,1.000,-18.315,0.000,1,NaN,0.000000,0.000000,NaN,NaN
ZTF25aanellf,g,Bazin,1.728,33.115,5.994,0.104,4,3.418,-0.120096,0.019927,NaN,NaN
ZTF25aanellf,r,Bazin,1.000,1.000,-99.997,21.640,4,NaN,0.000000,0.000000,NaN,NaN
ZTF25aanepai,g,Full,3.833,13.897,10.025,1.309,9,40.990,-0.154668,0.077735,NaN,NaN
ZTF25aanepai,r,Full,3.395,25.170,7.965,0.955,8,40.990,-0.152727,0.043031,NaN,NaN
ZTF25aanezba,r,Full,3.126,13.992,6.274,2.215,24,42.961,-0.197513,0.077577,NaN,NaN
ZTF25aanezba,g,Full,2.761,5.173,5.902,0.034,3,5.829,-0.215148,0.055280,NaN,NaN
ZTF25aanfaxg,r,Full,8.152,18.483,9.490,0.804,23,36.993,-0.085870,0.051010,NaN,NaN
ZTF25aanfaxg,g,Full,6.075,12.880,8.621,1.478,12,36.993,-0.107037,0.080628,NaN,NaN
ZTF25aanfdbz,r,Full,13.277,0.007,27.465,2.669,19,0.704,-0.038983,0.087024,NaN,NaN
ZTF25aanfdbz,g,Full,17.073,0.018,24.668,1.911,10,3.166,-0.017305,0.113764,NaN,NaN
ZTF25aanfdbz,i,Full,17.804,0.012,37.465,0.034,2,NaN,-0.029827,0.015823,NaN,NaN
ZTF25aanfhdv,r,Bazin,3.750,20.401,8.139,2.250,13,39.971,-0.114762,0.040338,NaN,NaN
ZTF25aanfhdv,g,Bazin,4.879,7.396,20.476,8.599,8,9.240,-0.053815,0.086508,NaN,NaN
ZTF25aangnvu,r,Bazin,2.880,8.957,9.059,0.523,14,23.940,-0.125111,0.073916,NaN,NaN
ZTF25aangnvu,g,Bazin,1.000,1.026,-74.323,2.524,3,NaN,0.000000,0.000000,NaN,NaN
ZTF25aanhiwe,g,Bazin,3.695,18.309,7.660,1.138,13,29.986,-0.156276,0.057007,NaN,NaN
ZTF25aanhiwe,r,Bazin,4.265,23.706,7.815,0.864,12,3.466,-0.143128,0.043531,NaN,NaN
ZTF25aanhqoc,r,Full,15.233,187.213,14.652,0.645,32,NaN,-0.012912,0.005280,NaN,NaN
ZTF25aanhqoc,g,Full,17.458,80.452,24.652,1.422,24,NaN,-0.006756,0.012024,NaN,NaN
ZTF25aaniiis,g,Bazin,1.000,7.029,3.618,0.000,3,1.815,-0.239020,0.091172,NaN,NaN
ZTF25aaniiis,r,Bazin,2.555,10.456,4.327,0.000,2,NaN,-0.150805,0.031639,NaN,NaN
ZTF25aaniiyd,g,Bazin,1.715,22.860,3.600,0.000,2,NaN,-0.097442,0.008362,NaN,NaN
ZTF25aaniiyd,r,Bazin,33.115,28.397,29.996,0.000,2,NaN,0.020775,0.024071,NaN,NaN
ZTF25aanikpq,g,Full,3.545,47.867,12.164,0.569,7,9.909,-0.241699,0.014872,NaN,NaN
ZTF25aanikpq,r,Full,6.577,45.607,17.096,0.790,5,10.201,-0.118126,-0.012953,NaN,NaN
ZTF25aanilxe,g,Bazin,2.477,22.130,2.203,0.413,12,36.873,-0.103550,0.076192,NaN,NaN
ZTF25aanilxe,r,Bazin,1.000,33.115,27.989,1.668,5,26.497,-0.000000,-0.015936,NaN,NaN
ZTF25aanitpo,r,Full,1.962,18.684,5.316,0.034,5,5.247,-0.378432,0.058082,NaN,NaN
ZTF25aanitpo,g,Full,3.626,10.389,7.287,0.164,5,29.003,-0.214431,0.102310,NaN,NaN
ZTF25aanjafq,r,Bazin,1.000,13.264,10.217,0.512,9,32.015,-0.064917,0.056823,NaN,NaN
ZTF25aanknle,r,Full,4.689,280.282,4.329,0.909,34,0.682,-0.095261,0.079823,NaN,NaN
ZTF25aanknle,g,Full,4.214,284.205,3.729,0.624,19,4.635,-0.095464,0.142418,NaN,NaN
ZTF25aankptu,g,Bazin,2.979,14.859,4.220,0.244,9,32.997,-0.110036,0.068067,NaN,NaN
ZTF25aankptu,r,Bazin,33.115,22.907,30.000,0.379,8,1.658,0.022469,0.025529,NaN,NaN
ZTF25aankqhe,r,Bazin,3.342,28.186,5.650,4.240,40,75.919,-0.064092,0.048713,NaN,NaN
ZTF25aankqhe,g,Bazin,2.803,13.651,6.820,8.311,25,75.919,-0.052447,0.028456,NaN,NaN
ZTF25aankyie,r,Full,1.769,0.026,20.570,2.133,10,19.457,-0.586226,0.046837,NaN,NaN
ZTF25aankyie,g,Full,4.807,0.069,18.685,1.510,5,11.986,-0.182814,0.078058,NaN,NaN
ZTF25aanlfdo,r,Full,3.065,26.775,6.140,0.682,37,46.914,-0.127362,0.040545,NaN,NaN
ZTF25aanlfdo,g,Full,3.890,12.425,9.566,1.066,23,46.914,-0.135450,0.087281,NaN,NaN
ZTF25aanmbvy,r,Full,0.070,8.062,0.025,422.426,9,25.033,0.111565,0.134674,NaN,NaN
ZTF25aanmbvy,g,Full,0.127,7.066,0.055,465.910,8,25.033,0.119994,0.153650,NaN,NaN
ZTF25aanmfji,r,Full,4.238,19.427,6.489,6.073,28,119.816,-0.021679,0.055888,NaN,NaN
ZTF25aanmfji,g,Full,3.099,10.263,3.188,0.668,12,119.816,0.013133,0.105791,NaN,NaN
ZTF25aanmgrm,r,Bazin,33.115,20.879,30.000,5.234,36,43.391,0.034713,0.044236,NaN,NaN
ZTF25aanmgrm,g,Bazin,7.109,6.219,30.000,1.217,24,53.178,0.072337,0.001485,NaN,NaN
ZTF25aanmrqp,g,Bazin,3.603,33.115,6.100,0.836,6,4.421,-0.302273,0.030021,NaN,NaN
ZTF25aanmrqp,r,Bazin,1.000,2.822,-100.000,28.247,6,NaN,0.000000,0.000000,NaN,NaN
ZTF25aanmsrb,g,Bazin,1.000,33.115,5.770,0.000,3,5.352,-0.343318,0.029157,NaN,NaN
ZTF25aanmsrb,r,Bazin,5.015,2.357,-100.000,0.000,1,NaN,0.000000,0.000000,NaN,NaN
ZTF25aanmuym,r,Bazin,3.338,24.900,6.859,0.636,19,58.970,-0.102358,0.036804,NaN,NaN
ZTF25aanmuym,g,Bazin,2.880,24.682,4.694,3.695,11,58.970,-0.091594,0.063372,NaN,NaN
ZTF25aanpulo,r,Bazin,3.373,32.066,7.460,3.514,31,78.979,-0.101667,0.048305,NaN,NaN
ZTF25aanpulo,g,Bazin,3.376,14.464,9.526,2.915,27,78.979,-0.076391,0.032195,NaN,NaN
ZTF25aanpvix,r,Bazin,1.166,33.115,0.853,8.019,39,11.272,-0.001869,0.009112,NaN,NaN
ZTF25aanpvix,g,Bazin,8.117,20.277,0.832,27.013,20,36.137,0.012508,0.030837,NaN,NaN
ZTF25aanqbbl,r,Full,2.779,22.218,34.424,4.665,11,37.960,-0.157481,0.048843,NaN,NaN
ZTF25aanqbbl,g,Full,3.688,10.556,37.743,0.491,11,37.960,-0.159083,0.102394,NaN,NaN
ZTF25aantell,g,Bazin,2.927,12.195,5.873,0.210,6,24.956,-0.144422,0.069410,NaN,NaN
ZTF25aantell,r,Bazin,1.560,33.115,3.566,0.014,4,1.254,-0.162141,0.019169,NaN,NaN
ZTF25aantkgq,r,Full,4.615,1808.042,7.589,0.661,11,3.707,-0.134623,0.057879,NaN,NaN
ZTF25aantkgq,g,Full,3.996,1686.775,6.992,0.579,8,32.073,-0.153440,0.087977,NaN,NaN
ZTF25aantruy,r,Bazin,3.801,22.402,10.107,1.309,24,64.943,-0.106415,0.033775,NaN,NaN
ZTF25aantruy,g,Bazin,3.246,14.166,9.697,2.440,21,64.943,-0.119406,0.058403,NaN,NaN
ZTF25aantvvp,r,Full,3.878,24.835,8.834,0.681,12,4.218,-0.158968,0.039507,NaN,NaN
ZTF25aantvvp,g,Full,10.542,9.136,18.834,0.213,7,0.873,-0.045688,0.082749,NaN,NaN
ZTF25aantvvp,i,Full,1.427,33.575,-0.744,0.034,1,0.582,-0.024580,0.032338,NaN,NaN
ZTF25aanvpit,r,Full,30.094,1808.042,54.899,27.239,54,8.819,-0.011430,0.031923,NaN,NaN
ZTF25aanvpit,g,Full,23.083,1808.042,44.899,48.656,19,NaN,-0.016969,-0.016926,NaN,NaN
ZTF25aanxgnn,r,Bazin,3.110,32.193,7.564,2.229,40,72.939,-0.133395,0.046297,NaN,NaN
ZTF25aanxgnn,g,Bazin,2.694,14.872,10.868,4.130,21,72.939,-0.170714,0.062630,NaN,NaN
ZTF25aanxipy,r,Bazin,3.214,30.090,7.158,2.302,30,76.961,-0.096536,0.043784,NaN,NaN
ZTF25aanxipy,g,Bazin,5.726,8.289,20.898,1.443,20,45.635,-0.028659,0.010561,NaN,NaN
ZTF25aanxtou,r,Full,17.705,17.917,59.001,1.563,34,83.951,-0.041307,0.043909,NaN,NaN
ZTF25aanxtou,g,Full,23.550,11.489,63.562,0.870,25,83.951,-0.025520,0.077663,NaN,NaN
ZTF25aanyoqd,r,Bazin,33.115,33.115,-70.805,1.292,22,NaN,0.002689,0.000860,NaN,NaN
ZTF25aanztch,g,Bazin,3.155,15.666,4.964,2.007,11,31.941,-0.124891,0.065638,NaN,NaN
ZTF25aanztch,r,Bazin,1.453,24.619,4.715,6.302,10,1.445,-0.128135,0.017909,NaN,NaN
ZTF25aaocnsp,r,Full,2.636,1808.042,7.040,0.244,7,5.530,-0.291869,0.054281,NaN,NaN
ZTF25aaocnsp,g,Full,2.517,1808.042,5.935,1.137,7,28.958,-0.266970,0.134410,NaN,NaN
ZTF25aaodumi,r,Full,2.263,1808.042,6.816,4.119,9,42.995,-0.269645,0.000600,NaN,NaN
ZTF25aaoecgp,r,Bazin,11.621,33.115,-97.178,6.477,28,NaN,-0.000000,-0.000000,NaN,NaN
ZTF25aaoecgp,g,Bazin,24.513,32.201,-45.168,0.077,2,NaN,0.000000,0.000000,NaN,NaN
ZTF25aaoefsh,r,Bazin,3.591,16.310,8.290,5.024,63,73.067,0.031938,0.015054,NaN,NaN
ZTF25aaoefsh,g,Bazin,3.952,5.335,17.647,18.529,55,77.843,0.068952,0.000014,NaN,NaN
ZTF25aaoelpm,r,Full,665.142,31.606,16.174,6.135,18,46.961,0.042562,0.033561,NaN,NaN
ZTF25aaoelpm,g,Full,244.692,24.550,26.174,0.588,4,40.112,0.025631,0.042146,NaN,NaN
ZTF25aaofsyz,g,Bazin,1.000,1.000,-100.000,0.201,7,NaN,0.000000,0.000000,NaN,NaN
ZTF25aaofttb,r,Full,27.020,0.007,73.410,0.954,23,4.984,-0.024016,0.010540,NaN,NaN
ZTF25aaofttb,g,Full,30.416,0.018,70.839,1.974,20,NaN,-0.017813,0.024425,NaN,NaN
ZTF25aaofuee,r,Bazin,3.617,18.794,7.850,2.464,31,69.757,-0.062763,0.021736,NaN,NaN
ZTF25aaofuee,g,Bazin,4.249,12.398,9.051,5.868,25,69.757,-0.037753,0.014199,NaN,NaN
ZTF25aaofxjv,r,Bazin,4.695,33.115,10.990,4.094,43,51.995,-0.178899,0.040251,NaN,NaN
ZTF25aaofxjv,g,Bazin,10.428,2.858,-100.000,115.816,16,NaN,0.000000,0.000000,NaN,NaN
ZTF25aaohnzw,r,Full,4.392,23.975,10.903,2.066,29,59.921,-0.157752,0.045261,NaN,NaN
ZTF25aaohnzw,g,Full,3.851,15.385,10.421,2.340,16,59.921,-0.171770,0.070566,NaN,NaN
ZTF25aaohuyd,r,Bazin,2.079,33.115,4.043,0.818,15,34.989,-0.860845,0.049265,NaN,NaN
ZTF25aaohuyd,g,Bazin,2.397,9.965,7.028,0.159,7,34.989,-0.188367,0.073748,NaN,NaN
ZTF25aaoiard,r,FastDecay,NaN,56.785,6.913,1.082,27,32.876,0.019651,0.019120,NaN,NaN
ZTF25aaoiard,g,FastDecay,NaN,83.347,2.378,0.364,15,15.535,0.013480,0.013027,NaN,NaN
ZTF25aaomnws,g,Full,9.613,31.432,21.978,1.511,28,77.845,-0.087469,0.033539,NaN,NaN
ZTF25aaomnws,r,Full,9.167,85.440,18.181,2.202,27,12.518,-0.083856,0.012149,NaN,NaN
ZTF25aaompnz,r,Bazin,1.689,7.252,2.873,0.700,9,26.946,-0.129849,0.111559,NaN,NaN
ZTF25aaompnz,g,Bazin,2.242,3.209,9.247,2.647,6,13.540,-0.091646,0.049860,NaN,NaN
ZTF25aaooewz,g,Full,24.202,4.186,29.839,0.181,3,NaN,-0.033702,-0.026090,NaN,NaN
ZTF25aaooewz,r,Full,30.888,3.484,37.367,0.034,2,NaN,-0.018485,-0.012671,NaN,NaN
ZTF25aaopvlb,r,Bazin,2.914,30.537,8.553,2.680,102,67.811,-0.181177,0.042843,NaN,NaN
ZTF25aaopvlb,g,Bazin,3.097,18.960,9.910,6.770,39,67.811,-0.184953,0.127108,NaN,NaN
ZTF25aaopvlb,i,Bazin,30.406,6.632,15.721,0.176,2,60.996,0.095969,0.000315,NaN,NaN
ZTF25aaoqltj,r,Full,3.293,28.791,12.202,3.581,54,113.896,-0.089598,0.037711,NaN,NaN
ZTF25aaoqltj,g,Full,4.228,13.637,15.508,6.231,27,113.896,-0.078017,0.079620,NaN,NaN
ZTF25aaoqltj,i,Full,1.239,78.261,2.202,0.034,1,113.896,-0.015337,0.013873,NaN,NaN
ZTF25aaoqyej,r,Bazin,5.079,27.028,12.313,0.645,73,7.812,-0.216094,0.043493,NaN,NaN
ZTF25aaoqyej,g,Bazin,1.978,1.159,-73.969,18.388,42,NaN,0.000000,0.000000,NaN,NaN
ZTF25aaoqyej,i,Bazin,31.646,8.487,30.000,0.000,2,29.945,0.106973,0.193267,NaN,NaN
ZTF25aaortzp,r,Bazin,3.141,33.107,2.582,1.276,29,56.929,-0.055843,0.043670,NaN,NaN
ZTF25aaortzp,g,Bazin,3.202,16.140,4.315,3.329,22,56.929,-0.046554,0.073809,NaN,NaN
ZTF25aaoruek,r,Bazin,3.020,16.726,8.493,2.382,24,56.020,-0.154919,0.068097,NaN,NaN
ZTF25aaoruek,g,Bazin,2.166,8.574,7.771,1.440,20,56.020,-0.138124,0.025582,NaN,NaN
ZTF25aaospja,g,Bazin,3.229,30.402,5.460,0.715,7,3.659,-0.230757,0.039095,NaN,NaN
ZTF25aaospja,r,Bazin,1.000,33.115,7.149,0.169,6,6.370,-0.153130,0.024422,NaN,NaN
ZTF25aaovvcg,r,Bazin,3.809,33.115,14.540,0.206,8,10.805,-0.107688,0.016661,NaN,NaN
ZTF25aaovvcg,g,Bazin,6.126,33.115,14.488,0.594,7,6.903,-0.094941,0.008680,NaN,NaN
ZTF25aaowtpy,r,Bazin,3.728,13.651,27.095,6.655,35,88.956,-0.086186,0.023614,NaN,NaN
ZTF25aaowtpy,g,Bazin,3.934,7.883,30.000,5.861,23,88.956,-0.094394,0.010279,NaN,NaN
ZTF25aaowwja,r,Full,3.824,24.783,7.412,1.995,24,2.924,-0.138244,0.041109,NaN,NaN
ZTF25aaowwja,g,Full,5.163,12.262,11.790,1.069,10,29.097,-0.120946,0.074213,NaN,NaN
ZTF25aaowwja,i,Full,2.484,17.243,3.727,0.034,2,29.097,-0.153608,0.062882,NaN,NaN
ZTF25aaowwuh,g,Full,2.490,12.571,11.012,0.693,15,39.967,-0.383722,0.086329,NaN,NaN
ZTF25aaowwuh,r,Full,3.473,12.779,11.103,1.871,13,39.967,-0.262029,0.084573,NaN,NaN
ZTF25aaoxequ,g,Full,3.159,53.944,8.204,1.063,41,70.867,-0.123700,0.020127,NaN,NaN
ZTF25aaoxequ,r,Full,3.595,32.724,8.280,1.437,36,70.867,-0.117737,0.033179,NaN,NaN
ZTF25aaoxgwp,r,Bazin,3.239,33.115,8.790,1.326,48,70.951,-0.167866,0.042939,NaN,NaN
ZTF25aaoxgwp,g,Bazin,3.196,16.255,10.992,2.575,35,70.951,-0.151354,0.077947,NaN,NaN
ZTF25aaoxrmn,r,Full,28.207,73.466,85.009,14.938,70,12.117,-0.016259,0.013184,NaN,NaN
ZTF25aaoxrmn,g,Full,21.035,1808.042,-0.341,41.206,60,NaN,-0.003333,0.000587,NaN,NaN
ZTF25aaoxxlf,r,Full,2.940,1808.042,6.519,2.008,34,5.891,-0.165634,0.000583,NaN,NaN
ZTF25aaoxxlf,g,Full,5.433,665.142,-3.481,18.502,8,NaN,-0.033933,0.001498,NaN,NaN
ZTF25aaoyfil,r,Bazin,5.209,16.556,4.590,1.457,17,3.570,-0.042900,0.054731,NaN,NaN
ZTF25aaoyfil,g,Bazin,4.723,6.223,10.899,0.414,11,13.348,-0.011792,0.136419,NaN,NaN
ZTF25aaozpsn,r,Bazin,33.115,15.349,10.490,3.669,20,44.538,0.049050,0.030957,NaN,NaN
ZTF25aaozpsn,g,Bazin,33.115,7.347,0.804,1.583,18,53.265,0.106689,0.002118,NaN,NaN
ZTF25aaozqak,r,Bazin,3.017,15.768,3.943,0.393,15,NaN,-0.108110,0.037206,NaN,NaN
ZTF25aaozsgb,r,Full,11.966,106.963,87.416,2.157,39,NaN,0.008719,0.010138,NaN,NaN
ZTF25aaozsgb,g,Full,13.474,63.892,97.416,2.140,30,25.591,0.012938,0.016932,NaN,NaN
ZTF25aapafwq,g,Bazin,4.750,24.956,17.774,1.058,14,5.965,-0.125438,0.028496,NaN,NaN
ZTF25aapafwq,r,Bazin,4.436,33.115,15.440,0.384,9,4.655,-0.119122,0.022745,NaN,NaN
ZTF25aapairy,r,Bazin,1.055,27.194,6.319,1.273,41,40.959,0.038171,0.032006,NaN,NaN
ZTF25aapairy,g,Bazin,1.396,22.303,15.851,0.268,8,46.766,0.058007,-0.000000,NaN,NaN
ZTF25aapbtrb,g,Bazin,2.054,8.101,4.430,1.350,31,NaN,0.007515,0.000000,NaN,NaN
ZTF25aapbtrb,r,Bazin,32.652,1.000,-100.000,0.929,14,NaN,0.000000,0.000000,NaN,NaN
ZTF25aapclig,r,Bazin,2.955,19.231,9.221,0.712,33,44.862,-0.178317,0.046187,NaN,NaN
ZTF25aapclig,g,Bazin,3.257,7.017,13.902,0.883,14,44.862,-0.110787,0.041752,NaN,NaN
ZTF25aapdivq,r,Bazin,2.384,21.595,7.083,1.686,25,42.001,-0.193443,0.039515,NaN,NaN
ZTF25aapdivq,g,Bazin,2.970,11.785,9.990,1.037,16,42.001,-0.171827,0.067331,NaN,NaN
ZTF25aapdjuv,g,Full,44.109,1808.042,99.813,0.153,8,NaN,-0.010661,-0.004820,NaN,NaN
ZTF25aapdjuv,r,Full,47.081,1808.042,89.813,0.380,5,NaN,-0.007582,-0.008575,NaN,NaN
ZTF25aapdkvl,r,Bazin,2.881,24.885,3.878,0.852,32,61.911,-0.053892,0.035194,NaN,NaN
ZTF25aapdkvl,g,Bazin,3.379,16.091,5.952,0.415,15,61.911,-0.062191,0.073932,NaN,NaN
ZTF25aapenec,r,Bazin,1.021,16.316,-59.588,0.000,2,NaN,0.002517,0.001687,NaN,NaN
ZTF25aapenxt,r,Bazin,4.537,21.654,6.155,0.701,37,65.951,-0.042315,0.032029,NaN,NaN
ZTF25aapenxt,g,Bazin,4.495,6.941,15.360,3.091,14,41.095,-0.032639,0.005696,NaN,NaN
ZTF25aapgumb,g,Full,3.554,13.706,11.732,3.692,12,30.009,-0.221032,0.073703,NaN,NaN
ZTF25aapgumb,r,Full,2.900,37.256,8.917,3.049,9,5.278,-0.255757,0.028051,NaN,NaN
ZTF25aapgumb,i,Full,2.624,21.557,1.732,0.034,1,5.278,-0.065986,0.050322,NaN,NaN
ZTF25aapgxef,g,Full,3.377,226.823,8.390,1.844,8,5.686,-0.229304,0.068523,NaN,NaN
ZTF25aapgxef,r,Full,3.691,99.008,8.648,5.664,8,6.227,-0.213494,0.032550,NaN,NaN
ZTF25aapgxhg,g,Full,1.253,0.007,3.944,1.903,5,3.911,-0.652037,-0.000048,NaN,NaN
ZTF25aapjaog,r,Bazin,3.337,25.498,18.105,8.791,44,80.928,-0.144398,0.066431,NaN,NaN
ZTF25aapjaog,g,Bazin,3.007,16.989,18.828,14.595,28,80.928,-0.141031,0.089121,NaN,NaN
ZTF25aapjhau,r,Full,87.211,410.147,13.674,0.599,17,NaN,-0.006580,-0.003125,NaN,NaN
ZTF25aapjhau,g,Full,237.065,150.885,23.674,0.668,8,NaN,0.006666,0.005115,NaN,NaN
ZTF25aapjmqu,r,FastDecay,NaN,65.246,85.774,4.263,67,59.311,0.000000,0.016641,NaN,NaN
ZTF25aapjmqu,g,FastDecay,NaN,40.514,100.000,2.943,54,81.248,0.006507,0.026799,NaN,NaN
ZTF25aapjruy,r,Bazin,3.362,30.668,9.874,2.533,82,85.909,-0.129923,0.046676,NaN,NaN
ZTF25aapjruy,g,Bazin,3.230,30.517,7.991,21.383,59,85.909,-0.137732,1.724540,NaN,NaN
ZTF25aapkqdn,r,Full,7.586,164.735,21.755,2.498,30,9.224,-0.082707,0.006298,NaN,NaN
ZTF25aapkqdn,g,Full,2.791,80.104,14.356,3.009,19,79.812,-0.239441,0.013554,NaN,NaN
ZTF25aapkqdn,i,Full,4.290,447.795,11.755,0.034,1,9.626,-0.117344,0.002424,NaN,NaN
ZTF25aaplvcd,g,Bazin,2.794,17.090,8.556,7.113,16,54.956,-0.193855,0.077591,NaN,NaN
ZTF25aaplvcd,r,Bazin,2.425,25.720,6.980,2.523,9,54.956,-0.181999,0.040299,NaN,NaN
ZTF25aaplvcg,g,Bazin,2.964,10.625,4.583,3.294,10,8.433,-0.087550,0.058278,NaN,NaN
ZTF25aaplvcg,r,Bazin,3.519,10.692,7.493,0.844,8,0.727,-0.074071,0.043133,NaN,NaN
ZTF25aaplxiz,g,Full,28.668,1808.042,44.596,0.363,12,NaN,-0.013658,0.021009,NaN,NaN
ZTF25aaplxiz,r,Full,37.365,1346.000,54.596,0.697,10,NaN,-0.010453,0.005899,NaN,NaN
ZTF25aapnvqx,r,Full,3.867,1722.037,5.754,0.763,9,22.275,-0.117438,0.000302,NaN,NaN
ZTF25aapnvqx,g,Full,2.704,633.502,3.930,1.126,8,36.940,-0.141208,0.021126,NaN,NaN
ZTF25aapoljr,r,Full,11.954,1808.042,19.690,0.758,15,NaN,-0.035921,0.029582,NaN,NaN
ZTF25aapoljr,g,Full,12.673,665.142,16.956,0.236,7,NaN,-0.023617,0.069232,NaN,NaN
ZTF25aapplfd,r,Bazin,19.738,33.115,30.000,1.526,90,115.494,0.011279,0.001985,NaN,NaN
ZTF25aapplfd,g,Bazin,33.115,31.151,30.000,1.059,87,133.262,0.017488,0.002569,NaN,NaN
ZTF25aappymi,r,Bazin,5.586,20.887,-7.161,2.110,27,59.772,0.037205,0.020310,NaN,NaN
ZTF25aappymi,g,Bazin,10.977,8.142,20.038,0.672,17,66.278,0.055937,0.002360,NaN,NaN
ZTF25aapqogh,r,Bazin,4.162,33.115,9.823,2.524,44,63.905,-0.187113,0.051655,NaN,NaN
ZTF25aapqogh,g,Bazin,3.155,33.115,9.051,4.868,9,63.905,-0.209397,0.040629,NaN,NaN
ZTF25aapqpbo,r,Full,3.632,1696.326,22.413,4.416,14,7.688,-0.227113,0.051868,NaN,NaN
ZTF25aapqpbo,g,Full,3.556,1282.926,20.566,0.311,9,31.872,-0.206927,0.074167,NaN,NaN
ZTF25aapqpbo,i,Full,7.529,1808.042,32.413,0.034,2,11.051,-0.108101,0.000984,NaN,NaN
ZTF25aapqvqk,r,Bazin,3.754,13.841,28.674,2.231,33,54.914,-0.118213,0.047542,NaN,NaN
ZTF25aapqvqk,g,Bazin,1.000,11.004,30.000,9.994,16,54.914,-0.197875,0.047337,NaN,NaN
ZTF25aapqvqk,i,Bazin,1.000,1.000,-68.240,0.000,1,NaN,-0.000000,-0.000000,NaN,NaN
ZTF25aapqzzl,r,Bazin,4.080,27.377,11.522,12.285,36,62.002,-0.210816,0.057764,NaN,NaN
ZTF25aapqzzl,g,Bazin,2.992,3.069,30.000,76.640,23,30.222,-0.007532,0.001811,NaN,NaN
ZTF25aaprfzh,r,Full,2.580,26.315,8.399,10.021,31,69.904,-0.149002,0.041259,NaN,NaN
ZTF25aaprfzh,g,Full,2.166,22.905,5.960,10.206,28,69.904,-0.107048,0.047401,NaN,NaN
ZTF25aaprggu,r,Full,3.391,27.732,6.098,24.133,23,54.995,-0.124364,0.039150,NaN,NaN
ZTF25aaprggu,g,Full,9.218,11.945,13.147,12.098,19,54.995,-0.067456,0.088194,NaN,NaN
ZTF25aaprgib,g,Bazin,2.435,18.381,2.514,0.676,9,61.794,-0.019548,0.045407,NaN,NaN
ZTF25aaprgib,r,Bazin,1.001,7.289,30.000,0.179,3,61.794,-0.000001,0.028517,NaN,NaN
ZTF25aaprgjx,r,FastDecay,NaN,50.286,19.828,14.734,31,18.004,0.017295,0.021591,NaN,NaN
ZTF25aaprgjx,g,FastDecay,NaN,28.877,9.828,7.647,23,31.226,0.023698,0.037599,NaN,NaN
ZTF25aaprgoz,r,Bazin,2.538,33.115,14.073,1.809,14,7.196,-0.224824,0.029228,NaN,NaN
ZTF25aaprgoz,g,Bazin,1.000,1.000,-100.000,93.963,11,NaN,0.000000,-0.000000,NaN,NaN
ZTF25aaprgxk,r,Bazin,2.747,20.481,7.329,13.094,20,66.918,-0.102506,0.031914,NaN,NaN
ZTF25aaprgxk,g,Bazin,2.469,11.712,6.863,0.891,16,66.918,-0.066813,0.012420,NaN,NaN
ZTF25aaprlyv,g,Bazin,32.522,1.744,-58.362,2.587,19,NaN,-0.000000,0.000000,NaN,NaN
ZTF25aaprtxj,g,Full,0.007,10.534,2.947,4.013,27,59.595,-2.303784,0.103074,NaN,NaN
