object,band,variant,rise_time_days,decay_time_days,peak_time_days,chi2,n_obs,fwhm_days,rise_rate_mag_per_day,decay_rate_mag_per_day,powerlaw_amplitude,powerlaw_index
ZTF25aaawpmf,g,Bazin,5.138,14.526,22.185,0.503,12,65.941,-0.079628,0.039229,NaN,NaN
ZTF25aaawpmf,i,Bazin,5.191,18.729,22.243,0.046,5,65.941,-0.091880,0.041597,NaN,NaN
ZTF25aaayywb,r,Bazin,6.163,12.443,30.000,0.850,26,137.778,-0.022461,0.000202,NaN,NaN
ZTF25aaayywb,g,Bazin,4.837,25.691,16.614,0.529,23,137.778,-0.021511,0.004256,NaN,NaN
ZTF25aaayywb,i,Bazin,3.721,11.299,30.000,1.950,4,137.778,-0.040868,0.000091,NaN,NaN
ZTF25aaazrdg,r,FastDecay,NaN,90.082,21.976,1.378,18,84.510,0.016594,0.012053,NaN,NaN
ZTF25aaazrdg,g,FastDecay,NaN,73.885,15.949,4.398,18,90.007,0.016750,0.014695,NaN,NaN
ZTF25aaazrdg,i,FastDecay,NaN,148.413,12.179,0.659,4,38.476,0.008157,0.007316,NaN,NaN
ZTF25aaazuaw,r,Full,2.500,0.174,5.713,0.522,13,59.924,-0.149341,0.054031,NaN,NaN
ZTF25aaazuaw,g,Full,2.631,0.064,6.242,2.471,10,59.924,-0.150909,2.970803,NaN,NaN
ZTF25aaazuaw,i,Full,3.771,0.089,-4.287,0.034,2,34.629,0.013953,-0.000000,NaN,NaN
ZTF25aaazubi,r,Bazin,4.311,23.837,8.843,3.620,16,73.950,-0.075678,0.042253,NaN,NaN
ZTF25aaazubi,g,Bazin,2.986,12.351,7.505,0.049,7,73.950,-0.053067,0.018414,NaN,NaN
ZTF25aaazubi,i,Bazin,29.492,1.000,-100.000,0.000,1,NaN,0.000000,0.000000,NaN,NaN
ZTF25aaazugo,r,Full,5.326,26.291,11.243,1.017,17,78.811,-0.050030,0.041291,NaN,NaN
ZTF25aaazugo,g,Full,3.681,12.439,7.588,1.328,12,78.811,-0.045190,0.087287,NaN,NaN
ZTF25aaazugo,i,Full,10.075,26.383,10.193,1.231,6,47.920,0.023484,0.040812,NaN,NaN
ZTF25aabaanf,r,Full,19.872,99.773,100.000,14.433,68,46.056,-0.010518,0.010834,NaN,NaN
ZTF25aabaanf,g,Full,20.086,271.211,95.761,0.616,29,NaN,-0.015656,0.003962,NaN,NaN
ZTF25aabebve,g,Full,29.420,0.007,64.925,2.701,26,NaN,-0.016544,0.033847,NaN,NaN
ZTF25aabebve,r,Full,27.215,0.018,59.882,0.801,14,4.894,-0.017788,2.601921,NaN,NaN
ZTF25aabebve,i,Full,26.902,0.010,74.925,0.687,5,2.936,-0.023845,0.007417,NaN,NaN
ZTF25aabegog,g,Bazin,2.077,15.065,7.748,1.175,23,5.302,-0.205022,0.056123,NaN,NaN
ZTF25aabegog,r,Bazin,2.396,27.741,6.874,0.965,16,4.218,-0.156701,0.028256,NaN,NaN
ZTF25aabegog,i,Bazin,1.000,11.713,5.525,0.113,5,2.290,-0.117231,0.027077,NaN,NaN
ZTF25aabfths,r,Bazin,22.784,1.765,-100.000,0.462,26,NaN,-0.000000,-0.000000,NaN,NaN
ZTF25aabfths,g,Bazin,9.755,33.115,30.000,0.567,20,NaN,-0.016173,0.007133,NaN,NaN
ZTF25aabjdvo,g,Full,2.891,40.753,7.351,0.554,16,78.979,-0.102981,0.026642,NaN,NaN
ZTF25aabjdvo,r,Full,2.470,29.774,6.060,1.180,13,78.979,-0.102425,0.036466,NaN,NaN
ZTF25aablymz,r,Full,617.089,1808.042,23.040,1.819,9,11.943,0.031798,-0.000276,NaN,NaN
ZTF25aablymz,g,Full,227.015,921.484,29.292,9.229,7,6.824,0.023460,0.048651,NaN,NaN
ZTF25aabmbjx,r,Bazin,3.071,27.683,2.836,1.387,21,29.091,-0.139572,0.047114,NaN,NaN
ZTF25aabmbjx,g,Bazin,3.547,3.723,19.235,0.614,17,4.678,-0.006899,0.066812,NaN,NaN
ZTF25aabmhdd,r,Bazin,4.005,26.545,11.779,1.075,37,58.047,-0.145358,0.037767,NaN,NaN
ZTF25aabmhdd,g,Bazin,4.108,20.950,11.967,2.421,36,58.047,-0.183895,0.075662,NaN,NaN
ZTF25aabmhly,r,Bazin,1.000,19.872,9.212,172.300,34,110.823,-0.095939,0.019969,NaN,NaN
ZTF25aabmhly,g,Bazin,1.320,12.002,9.444,69.047,25,110.823,-0.044964,0.001737,NaN,NaN
ZTF25aabmjel,r,Bazin,2.280,33.114,6.554,1.593,21,58.046,-0.213652,0.037413,NaN,NaN
ZTF25aabmjel,g,Bazin,33.115,33.115,-63.928,61.289,11,NaN,0.012845,0.005855,NaN,NaN
ZTF25aabmkua,g,Full,3.993,12.441,13.988,0.941,22,32.053,-0.201437,0.078841,NaN,NaN
ZTF25aabmkua,r,Full,3.334,33.817,10.151,0.619,17,7.248,-0.224495,0.030397,NaN,NaN
ZTF25aabnwba,r,Bazin,2.734,33.115,25.300,32.060,12,60.832,-0.483573,0.034804,NaN,NaN
ZTF25aabnwba,g,Bazin,3.588,33.115,24.378,65.931,8,60.832,-0.000000,0.052615,NaN,NaN
ZTF25aabobjw,r,Full,33.813,94.319,100.000,1.033,125,109.026,0.008697,0.011465,NaN,NaN
ZTF25aabobjw,g,Full,12.439,110.685,100.000,0.736,47,110.923,0.009620,0.009809,NaN,NaN
ZTF25aabobjw,i,Full,22.431,102.251,100.000,0.722,29,109.974,0.009184,0.010616,NaN,NaN
ZTF25aabotnk,r,Bazin,2.315,22.317,3.257,0.328,12,45.036,-0.081986,0.033416,NaN,NaN
ZTF25aabotnk,g,Bazin,3.386,13.069,6.488,0.491,6,45.036,-0.098127,0.088338,NaN,NaN
ZTF25aabotnk,i,Bazin,19.125,1.470,-88.691,2.058,3,NaN,0.000000,0.000000,NaN,NaN
ZTF25aabovpf,r,Full,0.007,277.069,100.000,422.340,12,NaN,0.003919,0.003919,NaN,NaN
ZTF25aabovpf,g,Full,0.007,210.868,100.000,879.716,11,NaN,0.005149,0.005149,NaN,NaN
ZTF25aabovpf,i,Full,0.007,270.292,100.000,142.034,5,NaN,0.004017,0.004017,NaN,NaN
ZTF25aabowed,g,Full,2.474,232.604,9.074,1.623,8,30.973,-0.354831,0.079626,NaN,NaN
ZTF25aabowed,r,Full,2.876,271.170,10.572,4.093,7,8.716,-0.313991,0.058450,NaN,NaN
ZTF25aabpoxz,r,Bazin,2.835,20.282,4.944,0.575,23,44.938,-0.130245,0.062868,NaN,NaN
ZTF25aabpoxz,g,Bazin,2.378,9.690,6.000,1.189,14,44.938,-0.120652,0.053485,NaN,NaN
ZTF25aabqdqc,r,Full,0.722,1808.042,100.000,130.192,24,NaN,0.000601,0.000601,NaN,NaN
ZTF25aabqdqc,g,Full,1.560,1064.817,100.000,482.070,19,NaN,0.001020,0.001020,NaN,NaN
ZTF25aabqdqc,i,Full,0.268,1808.042,100.000,56.653,5,NaN,0.000601,0.000601,NaN,NaN
ZTF25aabreke,r,Bazin,2.958,22.058,30.000,1.295,66,76.356,0.043908,0.014731,NaN,NaN
ZTF25aabreke,g,Bazin,1.000,33.115,23.090,1.313,21,58.917,0.022869,0.007092,NaN,NaN
ZTF25aabreke,i,Bazin,33.115,2.193,-93.195,0.000,1,NaN,-0.000000,-0.000000,NaN,NaN
ZTF25aabrowo,g,Full,3.629,8.886,8.886,0.199,8,24.960,-0.187368,0.113532,NaN,NaN
ZTF25aabrowo,r,Full,2.732,15.210,6.981,1.062,5,24.960,-0.249184,0.069462,NaN,NaN
ZTF25aabskal,r,Full,7.361,84.512,-5.000,7.327,8,NaN,-0.013447,0.012716,NaN,NaN
ZTF25aabskal,g,Full,6.115,31.090,-5.000,1.904,8,21.966,0.010112,0.034884,NaN,NaN
